END_DATE,HEAT_ED_VISIT_COUNT,MAX_DAILY_TEMP
2025-06-13,1,77
2025-06-14,1,67
2025-06-15,1,64
2025-06-16,2,68
2025-06-17,1,67
2025-06-18,3,89
2025-06-19,12,94
2025-06-20,3,84
2025-06-21,15,88
2025-06-22,18,95
2025-06-23,70,103
2025-06-24,112,100
2025-06-25,141,98
2025-06-26,32,84
2025-06-27,1,74
2025-06-28,11,88
2025-06-29,32,91
2025-06-30,19,91
2025-07-01,15,98
2025-07-02,9,86
2025-07-03,9,92
2025-07-04,8,83
2025-07-05,5,87
2025-07-06,7,88
2025-07-07,11,92
2025-07-08,31,98
2025-07-09,26,94
2025-07-10,14,85
2025-07-11,5,87
2025-07-12,10,88
2025-07-13,4,87
2025-07-14,8,93
2025-07-15,10,91
2025-07-16,19,95
2025-07-17,28,97
2025-07-18,7,83
2025-07-19,3,84
2025-07-20,17,93
2025-07-21,9,85
2025-07-22,4,79
2025-07-23,4,81
2025-07-24,8,86
2025-07-25,22,101
2025-07-26,4,84
2025-07-27,2,91
2025-07-28,22,94
2025-07-29,39,100
2025-07-30,34,99
2025-07-31,17,89
2025-08-01,2,73
2025-08-02,3,79
2025-08-03,2,84
2025-08-04,2,88
2025-08-05,8,84
2025-08-06,1,78
2025-08-07,4,80
2025-08-08,2,80
2025-08-09,5,83
2025-08-10,8,89
2025-08-11,4,90
2025-08-12,2,90
2025-08-13,2,94
2025-08-14,8,91
2025-08-16,6,85
2025-08-17,5,92
2025-08-19,1,75
2025-08-20,2,70
2025-08-21,1,72
2025-08-22,1,84
2025-08-23,3,82
2025-08-24,1,82
2025-08-25,2,86
2025-08-26,2,80
2025-08-27,1,75
2025-08-28,1,77
2025-08-29,1,77
2025-08-30,1,76
2025-08-31,4,77
2025-09-01,6,77
2025-09-02,2,77
2025-09-03,3,77
2025-09-04,0,78
2025-09-05,1,82
2025-09-06,3,88
2025-09-07,1,70
2025-09-08,2,73
2025-09-10,0,73
2025-09-11,1,78
2025-09-12,0,78
2025-09-13,0,76
2025-09-14,2,81
2025-09-15,0,79
2025-09-16,2,74
2025-09-17,1,72
2025-09-18,1,84
2025-09-20,1,72
2025-09-21,0,69
2025-09-25,0,78
2025-09-26,3,83
2025-09-27,2,78
2025-09-28,0,84
2025-09-29,0,74
